Country,YearsWithThisDatabase,OtherDatabases,YearsWithThisTypeOfJob,JobTitle,OtherPeopleOnYourTeam,EmploymentStatus,EmploymentSector,Survey Year,PrimaryDatabase,ManageStaff,HowManyCompanies,Gender,Actual Salary,Predicted Salary
United States,14,"Microsoft SQL Server, MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",14,DBA (Production Focus),3,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,105000.0,114805.0
United Kingdom,6,"Oracle, MySQL/MariaDB, Azure SQL DB",7,Developer: T-SQL,2,Full time employee,"Education (K-12, college, university)",2019,Microsoft SQL Server,Yes,0,Male,61400.0,54151.53299999999
Canada,15,"Microsoft SQL Server, Azure SQL DB (any flavor)",10,DBA (Production Focus),0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Female,68000.0,84621.09
United States,9,"MongoDB, Microsoft Access, Azure SQL DB (any flavor)",9,DBA (General),1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,95000.0,98550.74
Brazil,11,"Oracle, MySQL/MariaDB",1,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,32800.0,50892.41000000001
United States,15,"Microsoft Access, sybase",5,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,92500.0,124391.03360000001
United States,13,"Microsoft SQL Server, informix",3,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,190000.0,108691.0
United States,10,"MySQL/MariaDB, Microsoft Access",5,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,65000.0,98331.76999999999
United States,13,"Oracle, MySQL/MariaDB, Microsoft Access",13,Manager,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,110000.0,116207.38
United States,12,Microsoft Access,1,Developer: App Code,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,74000.0,94805.48
United States,4,Teradata,4,Developer: BI,3,Full time employee,Private business,2021,Other,No,1,Male,75000.0,109365.5
United States,5,"Microsoft SQL Server, MySQL/MariaDB, SQLite",16,Other,6,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,60000.0,96869.59999999999
United States,14,MySQL/MariaDB,4,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,105000.0,90735.5
United Kingdom,9,MySQL/MariaDB,2,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,52270.00000000001,54811.60000000002
Poland,8,Azure SQL DB (any flavor),2,DBA (General),4,Full time employee,Private business,2020,Microsoft SQL Server,Yes,0,Male,80000.0,51344.170000000006
