Country,YearsWithThisDatabase,OtherDatabases,YearsWithThisTypeOfJob,JobTitle,OtherPeopleOnYourTeam,EmploymentStatus,EmploymentSector,Survey Year,PrimaryDatabase,ManageStaff,HowManyCompanies,Gender,Actual Salary,Predicted Salary
United States,14,"Microsoft SQL Server, MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",14,DBA (Production Focus),3,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,105000.0,110916.836
United Kingdom,6,"Oracle, MySQL/MariaDB, Azure SQL DB",7,Developer: T-SQL,2,Full time employee,"Education (K-12, college, university)",2019,Microsoft SQL Server,Yes,0,Male,61400.0,44328.56
Canada,15,"Microsoft SQL Server, Azure SQL DB (any flavor)",10,DBA (Production Focus),0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Female,68000.0,81534.15
United States,9,"MongoDB, Microsoft Access, Azure SQL DB (any flavor)",9,DBA (General),1,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,95000.0,92568.8
Brazil,11,"Oracle, MySQL/MariaDB",1,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,32800.0,47077.305
United States,15,"Microsoft Access, sybase",5,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,92500.0,121405.64
United States,13,"Microsoft SQL Server, informix",3,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,190000.0,111620.305
United States,10,"MySQL/MariaDB, Microsoft Access",5,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,65000.0,103336.91
United States,13,"Oracle, MySQL/MariaDB, Microsoft Access",13,Manager,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,110000.0,117663.44
United States,12,Microsoft Access,1,Developer: App Code,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,74000.0,100054.53
United States,4,Teradata,4,Developer: BI,3,Full time employee,Private business,2021,Other,No,1,Male,75000.0,98784.98
United States,5,"Microsoft SQL Server, MySQL/MariaDB, SQLite",16,Other,6,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,60000.0,105804.836
United States,14,MySQL/MariaDB,4,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,105000.0,108461.6
United Kingdom,9,MySQL/MariaDB,2,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,52270.00000000001,60115.195
Poland,8,Azure SQL DB (any flavor),2,DBA (General),4,Full time employee,Private business,2020,Microsoft SQL Server,Yes,0,Male,80000.0,51236.547
United States,5,"PostgreSQL, SQLite, Amazon RDS (any flavor)",3,Architect,1,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,100000.0,110540.24
United States,24,"Azure SQL DB (any flavor), CosmosDB",24,DBA (General),0,Full time employee,Private business,2020,Microsoft SQL Server,No,6,Male,150000.0,99679.35
United Kingdom,18,Amazon RDS (any flavor),18,DBA (Development Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,94500.0,76847.586
Netherlands,5,"Microsoft SQL Server, PostgreSQL, Azure SQL DB",11,Developer: App Code,1,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,80000.0,55359.906
United States,6,"Oracle, Azure SQL DB, Amazon RDS (any flavor)",2,DBA,4,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,117000.0,94254.016
India,12,Microsoft SQL Server,4,Architect,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,40000.0,38091.133
United States,17,"Oracle, MySQL/MariaDB",3,Manager,2,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,153000.0,121261.12
United States,17,"MySQL/MariaDB, Microsoft Access, Azure SQL DB",2,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,125000.0,113610.664
United States,10,"Oracle, PostgreSQL",5,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Female,103000.0,103168.79
United States,10,"DB2, Microsoft Access",10,Developer: T-SQL,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,92000.0,112908.87
United Kingdom,14,"MySQL/MariaDB, Azure SQL DB, Amazon RDS (any flavor)",2,DBA (Production Focus),3,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,74560.0,68189.52
United States,9,Microsoft SQL Server,1,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,80000.0,105396.266
United States,10,"Microsoft SQL Server, MySQL/MariaDB, SQLite, Azure SQL DB, Amazon RDS (any flavor)",5,Developer: App Code,6,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,95000.0,108707.83
United States,10,"Azure SQL DB, Amazon RDS (any flavor)",9,DBA,6,Consulting Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,109000.0,136367.73
United States,5,Microsoft Access,40,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,54000.0,94531.66
United States,8,"Microsoft Access, Amazon RDS (any flavor)",8,DBA (General),2,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,101000.0,104459.04
United States,19,"Oracle, MySQL/MariaDB, Microsoft Access",3,Developer: T-SQL,2,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,87000.0,101647.195
